source,relation,target
CWE-680,mapped_to,CAPEC-45
CVE-2017-20276,affects,Simbunch:SIMGenealogy
CVE-2026-28573,has_weakness,CWE-862
CAPEC-404,maps_to,T1213
CAPEC-555,maps_to,T1555
CVE-2026-56323,affects,Capgo:Capgo
CVE-2026-11525,has_weakness,CWE-183
CAPEC-519,maps_to,T1019
CAPEC-555,maps_to,T1219
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-AY25VGKP2B-ET6
CAPEC-310,maps_to,T1518
CAPEC-502,maps_to,T1672
CVE-2019-25758,has_weakness,CWE-434
CAPEC-551,maps_to,T1505.005
T1027.002,mitigated_by,Antivirus/Antimalware
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-LN35VG2R-ER3
CAPEC-568,maps_to,T1214
CAPEC-551,maps_to,T1498
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-ZXV7121S-T-1
CVE-2026-48506,affects,MessagePack-CSharp:MessagePack-CSharp
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-ZD2523-W-1
CVE-2026-0147,affects,Google:Android
CVE-2026-50267,has_weakness,CWE-312
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-FD6326S-W
CAPEC-650,maps_to,T1059.003
CVE-2026-46845,has_weakness,CWE-306
CVE-2026-46699,has_weakness,CWE-284
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-ZY5626S-W
T1591,mitigated_by,Pre-compromise
CVE-2026-12300,has_weakness,CWE-119
CAPEC-567,maps_to,T1036.003
CAPEC-670,maps_to,T1027.002
CAPEC-557,maps_to,T1017
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-AP35VGKD-A2
T1558,mitigated_by,Encrypt Sensitive Information
CAPEC-57,maps_to,T1601.002
T1053.005,mitigated_by,User Account Management
CVE-2026-0134,has_weakness,CWE-1188
CAPEC-202,maps_to,T1204.004
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-AY25VGKP2-SC1
CAPEC-66,maps_to,T1055.002
CVE-2026-48067,affects,filamentphp:filament
CAPEC-214,maps_to,T1095
CVE-2026-56304,has_weakness,CWE-502
CVE-2026-48931,affects,nodejs:node
T1480.002,mitigated_by,Do Not Mitigate
CAPEC-216,maps_to,T1565.003
CAPEC-580,maps_to,T1003.007
CAPEC-653,maps_to,T1562.012
T1609,mitigated_by,Privileged Account Management
T1556,mitigated_by,Privileged Account Management
CVE-2026-46863,affects,Oracle Corporation:MySQL Server
CVE-2025-11694,affects,Rockwell Automation:CompactLogix 5370
T1550.001,mitigated_by,Account Use Policies
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-ZW2521-W
CAPEC-389,maps_to,T1671
CVE-2026-40761,affects,Edge-Themes:Valeska
T1505.006,mitigated_by,Code Signing
CVE-2026-54197,affects,Wpmet:GetGenie
CAPEC-325,maps_to,T1556.001
CVE-2026-56141,affects,JetBrains:Hub
CAPEC-692,maps_to,T1088
CAPEC-88,maps_to,T1059
CWE-471,mapped_to,CAPEC-388
T1078.004,mitigated_by,User Account Management
CAPEC-129,maps_to,T1565.001
CWE-697,mapped_to,CAPEC-64
CAPEC-108,maps_to,T1204
CWE-79,mapped_to,CAPEC-592
CVE-2026-12505,affects,Red Hat:Red Hat Enterprise Linux 9
CAPEC-101,maps_to,T1674
CAPEC-635,maps_to,T1480
CWE-539,mapped_to,CAPEC-21
CWE-798,mapped_to,CAPEC-70
CAPEC-216,maps_to,T1494
CAPEC-276,maps_to,T1493
CWE-20,mapped_to,CAPEC-71
CAPEC-182,maps_to,T1055.001
CVE-2017-20255,has_weakness,CWE-89
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-LN60VG2V-ET5
T1020.001,mitigated_by,User Account Management
CVE-2026-46910,has_weakness,CWE-20
CVE-2026-48764,has_weakness,CWE-918
CAPEC-682,maps_to,T1687
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MFZ-KT25VGK-ET1
CWE-377,mapped_to,CAPEC-149
CAPEC-258,maps_to,T1098.004
CAPEC-519,maps_to,T1044
T1055.004,mitigated_by,Behavior Prevention on Endpoint
CAPEC-59,maps_to,T1185
CAPEC-565,maps_to,T1110.002
T1036,mitigated_by,User Account Management
CAPEC-594,maps_to,T1055.002
T1558,mitigated_by,Active Directory Configuration
CAPEC-21,maps_to,T1199
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-HR60VFK2-E1
T1612,mitigated_by,Privileged Account Management
CAPEC-501,maps_to,T1157
CVE-2026-12324,has_weakness,CWE-703
T1574.012,mitigated_by,User Account Management
CAPEC-691,maps_to,T1552.005
T1499.003,mitigated_by,Filter Network Traffic
CVE-2025-69160,has_weakness,CWE-98
CAPEC-694,maps_to,T1614
CWE-120,mapped_to,CAPEC-24
CAPEC-567,maps_to,T1588
CVE-2026-10635,affects,zephyrproject:zephyr
CAPEC-478,maps_to,T1647
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-FZ7125S-W
CVE-2026-12249,affects,Canonical:Ubuntu 24.04 LTS
CAPEC-306,maps_to,T1555.004
CAPEC-594,maps_to,T1205
CAPEC-536,maps_to,T1602.002
CAPEC-453,maps_to,T1204.002
CVE-2026-46848,has_weakness,CWE-284
CAPEC-386,maps_to,T1137
CAPEC-90,maps_to,T1556.006
CAPEC-551,maps_to,T1685
CAPEC-158,maps_to,T1498
CVE-2026-40736,has_weakness,CWE-502
CVE-2026-40723,affects,Bricks:Bricks Builder
CVE-2016-20079,has_weakness,CWE-98
T1546,mitigated_by,Update Software
CWE-1297,mapped_to,CAPEC-1
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (outside Japan) MSZ-LN25VG4MW-SC1
CAPEC-385,maps_to,T1565.003
CVE-2026-56324,affects,Capgo:Capgo
CVE-2026-12466,has_weakness,CWE-122
CWE-770,mapped_to,CAPEC-494
CVE-2026-48777,has_weakness,CWE-22
CWE-307,mapped_to,CAPEC-653
CVE-2026-5667,affects,Mitsubishi Electric Corporation:Room Air Conditioners (for Japan) MSZ-FD6322S-W
CVE-2026-40722,has_weakness,CWE-862
CVE-2026-47748,affects,leejet:stable-diffusion.cpp
CVE-2026-48821,affects,shaarli:Shaarli
CAPEC-523,maps_to,T1505
CVE-2026-53850,has_weakness,CWE-862
CAPEC-165,maps_to,T1548.006
T1587,mitigated_by,Pre-compromise
CVE-2026-46902,has_weakness,CWE-306
CAPEC-145,maps_to,T1557.003
CVE-2026-54017,has_weakness,CWE-22
CAPEC-692,maps_to,T1497.001
CAPEC-258,maps_to,T1499.004
CVE-2026-56022,affects,Webmin:Webmin
CWE-362,mapped_to,CAPEC-26
