head,relation,tail
3030,2,386
721,0,6134
1355,1,3087
353,3,6521
489,3,6698
2534,0,3124
1058,1,2837
455,3,6197
489,3,6549
2579,0,4838
308,3,6610
444,3,6942
742,1,2959
486,3,6606
6215,4,37
2579,0,5478
501,3,6528
486,3,6588
2579,0,4529
1989,0,3384
2579,0,4118
985,0,3264
2207,1,2899
2579,0,3706
581,3,6307
1813,1,2894
1758,1,2880
2579,0,4596
6860,4,6030
1147,1,2704
500,3,6241
601,3,6215
491,3,6195
2579,0,4693
6720,4,3223
503,3,6900
6280,4,7108
972,1,2702
203,3,6510
2579,0,4835
589,3,6286
1969,0,7280
215,3,6378
2525,1,2979
2069,0,7374
6560,4,3185
217,3,6767
513,3,6177
584,3,6745
6914,4,6037
6705,4,6037
1831,0,5954
789,0,6094
6677,4,21
2579,0,4190
340,3,6941
1622,0,3205
6607,4,3145
2363,0,7179
320,3,6706
2492,0,3325
616,3,6367
647,3,6304
2971,2,339
6354,4,7108
125,3,6765
3041,2,569
104,3,6506
3064,2,526
1220,0,6076
97,3,6944
564,3,6558
2990,2,211
3065,2,625
217,3,6578
276,3,6577
2847,2,629
180,3,6285
700,1,3092
2579,0,5701
6199,4,7108
1877,1,2847
2017,1,3100
612,3,6968
2579,0,4608
2937,2,147
258,3,6384
455,3,6263
6288,4,71
523,3,6485
498,3,6402
6239,4,7108
528,3,6286
6720,4,22
211,3,6501
2579,0,5281
6917,4,6037
443,3,6465
1171,1,3042
6801,4,7108
615,3,6686
6594,4,3244
913,1,3112
618,3,6919
2709,2,240
500,3,6841
1016,0,7496
417,3,6925
2579,0,3745
1134,0,3120
303,3,6702
528,3,6512
470,3,6903
390,3,6508
1816,1,2880
337,3,6445
650,3,6711
486,3,6957
155,3,6588
1602,1,2979
1593,0,90
680,1,3112
6638,4,7106
2774,2,94
2579,0,5434
336,3,6767
2535,0,3124
1214,1,2713
3056,2,434
2024,1,2856
2895,2,584
2579,0,3702
1592,1,3087
1953,0,7331
2038,0,7421
460,3,6601
2312,1,3087
163,3,6675
6836,4,6030
1869,1,2894
143,3,6718
2341,1,2856
616,3,6586
258,3,6595
2474,0,7164
2929,2,260
2530,1,2850
476,3,6526
2579,0,4087
1358,1,3087
227,3,6505
161,3,6493
6546,4,3228
6605,4,6037
1804,1,2880
628,3,6924
565,3,6213
2579,0,5174
140,3,6716
375,3,6765
2579,0,4298
2847,2,231
573,3,6427
6725,4,54
2847,2,464
261,3,6185
162,3,6621
474,3,6632
2606,0,7091
2579,0,3467
2579,0,5740
573,3,6534
2579,0,5342
1020,0,7496
2700,2,267
6957,4,54
1594,0,3137
2579,0,3703
1903,1,2880
390,3,6510
588,3,6508
1565,0,7221
1824,0,5968
2429,1,3092
2040,1,3064
379,3,6601
2886,2,653
601,3,6611
297,3,6876
1606,0,7077
510,3,6659
2944,2,127
1978,0,5910
2837,2,295
2690,1,3060
170,3,6766
1155,0,5904
2579,0,4564
261,3,6616
1287,0,7082
2579,0,3574
2579,0,4086
222,3,6434
2579,0,5561
1321,1,2849
1482,0,7364
1888,1,2873
803,1,2942
583,3,6701
1069,1,3092
2503,1,2848
336,3,6185
616,3,6377
163,3,6380
2579,0,3759
2011,1,2712
278,3,6606
2579,0,4651
6447,4,6139
481,3,6416
513,3,6586
333,3,6879
222,3,6201
2579,0,4102
2579,0,5624
2579,0,4727
1673,0,7072
1533,0,26
345,3,6191
399,3,6476
106,3,6822
6631,4,3362
2379,1,2805
450,3,6516
6477,4,3364
2579,0,5651
597,3,6955
217,3,6577
340,3,6616
