CVE,Rank,Technique,Score
CVE-2026-56448,1,T1665,0.9715926051139832
CVE-2026-56448,2,T1592.002,0.9637829661369324
CVE-2026-56448,3,T1496.004,0.9629434943199158
CVE-2026-56448,4,T1596.005,0.9626057147979736
CVE-2026-56448,5,T1027.002,0.958416759967804
CVE-2017-20255,1,T1665,0.9305470585823059
CVE-2017-20255,2,T1592.002,0.9124700427055359
CVE-2017-20255,3,T1496.004,0.9105516076087952
CVE-2017-20255,4,T1596.005,0.909780740737915
CVE-2017-20255,5,T1027.002,0.9002876281738281
CVE-2026-39529,1,T1665,0.9753134846687317
CVE-2026-39529,2,T1592.002,0.9684935808181763
CVE-2026-39529,3,T1496.004,0.9677597284317017
CVE-2026-39529,4,T1596.005,0.96746426820755
CVE-2026-39529,5,T1027.002,0.9637991189956665
CVE-2026-34892,1,T1665,0.9749253988265991
CVE-2026-34892,2,T1592.002,0.9680018424987793
CVE-2026-34892,3,T1496.004,0.9672567844390869
CVE-2026-34892,4,T1596.005,0.9669569730758667
CVE-2026-34892,5,T1027.002,0.963236927986145
CVE-2016-20072,1,T1665,0.9785614013671875
CVE-2016-20072,2,T1592.002,0.9726136326789856
CVE-2016-20072,3,T1496.004,0.9719728827476501
CVE-2016-20072,4,T1596.005,0.9717149138450623
CVE-2016-20072,5,T1027.002,0.9685131311416626
